frame_no,user_position,user_orientation,camera_hit_obj,camera_hit_point,camera_hit_dist,controller_hit_obj,controller_hit_point,controller_hit_distance
170,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Sphere,"(-13.80,0.75,-1.99)",6.69
180,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Sphere,"(-13.65,0.79,-2.02)",6.59
190,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Sphere,"(-13.49,0.85,-1.97)",6.54
200,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Sphere,"(-13.49,0.85,-1.97)",6.54
210,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Sphere,"(-13.49,0.85,-1.97)",6.54
220,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Sphere,"(-13.49,0.85,-1.97)",6.54
230,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Wall West,"(-14.21,0.38,-0.64)",8.12
240,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Wall West,"(-14.21,0.38,-0.64)",8.12
250,"(-10.53,2.79,-7.05)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",19.38,Wall West,"(-14.21,0.38,0.08)",8.12
260,"(-10.53,2.79,-6.23)","(0.00,0.00,1.00)",Sphere,"(-10.53,2.79,-6.23)",0.10,Wall West,"(-14.21,0.47,2.24)",9.25
270,"(-10.53,2.79,-5.37)","(0.00,0.00,1.00)",Sphere,"(-10.53,2.79,-5.17)",0.29,Wall West,"(-14.21,0.97,6.67)",12.43
280,"(-10.52,2.79,-4.49)","(0.00,0.00,1.00)",Sphere,"(-10.52,2.79,-4.11)",0.45,Sphere,"(-10.52,2.80,-4.11)",0.05
290,"(-10.52,2.79,-3.68)","(0.00,0.00,1.00)",Sphere,"(-10.52,2.79,-3.14)",0.64,Sphere,"(-10.57,2.80,-3.16)",0.22
300,"(-10.52,2.79,-2.66)","(0.00,0.00,1.00)",Sphere,"(-10.52,2.79,-1.83)",0.91,Sphere,"(-10.67,2.77,-1.93)",0.44
310,"(-10.52,2.79,-1.79)","(0.00,0.00,1.00)",Sphere,"(-10.52,2.79,-0.70)",1.20,Sphere,"(-10.73,2.72,-0.96)",0.58
320,"(-10.52,2.79,-0.97)","(0.00,0.00,1.00)",Wall North,"(-10.52,2.79,12.25)",13.29,Sphere,"(-10.83,2.66,0.06)",0.78
330,"(-10.52,2.79,-0.36)","(0.00,0.00,1.00)",Wall North,"(-10.52,2.79,12.25)",12.61,Sphere,"(-10.93,2.61,0.94)",1.00
340,"(-10.52,2.79,-0.36)","(0.00,0.00,1.00)",Wall North,"(-10.52,2.79,12.25)",12.61,Sphere,"(-10.93,2.61,0.94)",1.00
350,"(-11.05,2.79,-0.40)","(-0.12,0.00,0.99)",Wall North,"(-12.29,2.79,12.25)",12.71,Sphere,"(-11.50,2.62,0.84)",0.98
360,"(-11.24,2.79,-0.17)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",12.74,Sphere,"(-11.78,2.63,0.82)",0.93
370,"(-11.35,2.79,0.54)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",11.85,Sphere,"(-12.01,2.59,1.85)",1.12
380,"(-11.35,2.79,0.54)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",11.85,Sphere,"(-12.06,2.57,1.92)",1.20
390,"(-11.35,2.79,0.54)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",11.85,Sphere,"(-11.99,2.53,1.96)",1.20
400,"(-11.35,2.79,0.54)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",11.85,Sphere,"(-11.87,2.51,2.01)",1.20
410,"(-11.35,2.79,0.54)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",11.85,Sphere,"(-11.82,2.53,2.04)",1.20
420,"(-11.44,2.79,1.13)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",11.33,Sphere,"(-11.90,2.53,2.57)",1.22
430,"(-11.48,2.79,1.35)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",11.03,Sphere,"(-12.00,2.49,3.00)",1.36
440,"(-11.48,2.79,1.35)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",11.03,Sphere,"(-11.99,2.48,2.99)",1.36
450,"(-11.48,2.79,1.35)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",11.03,Sphere,"(-11.99,2.47,2.99)",1.36
460,"(-11.48,2.79,1.35)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",11.03,Sphere,"(-11.99,2.46,2.99)",1.36
470,"(-11.48,2.79,1.35)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",11.03,Sphere,"(-11.93,2.41,3.00)",1.36
480,"(-11.48,2.79,1.35)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",11.03,Sphere,"(-11.88,2.43,3.02)",1.36
490,"(-11.49,2.79,1.44)","(-0.15,0.00,0.99)",Sphere,"(-11.80,2.79,3.45)",2.12,Sphere,"(-11.86,2.46,3.03)",1.36
500,"(-11.61,2.79,2.23)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",10.22,Sphere,"(-12.02,2.42,3.88)",1.43
510,"(-11.61,2.79,2.23)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",10.14,Sphere,"(-12.08,2.30,4.03)",1.54
520,"(-11.61,2.79,2.23)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",10.14,Sphere,"(-12.08,2.28,4.02)",1.54
530,"(-11.61,2.79,2.23)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",10.14,Sphere,"(-12.08,2.28,4.02)",1.54
540,"(-11.61,2.79,2.23)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",10.14,Sphere,"(-12.08,2.28,4.02)",1.54
550,"(-11.61,2.79,2.23)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",10.14,Sphere,"(-12.09,2.27,4.04)",1.57
560,"(-11.61,2.79,2.23)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",10.14,Sphere,"(-12.16,2.20,4.27)",1.82
570,"(-11.61,2.79,2.23)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",10.14,Ground,"(-13.94,0.00,10.13)",8.34
580,"(-11.61,2.79,2.23)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",10.14,Ground,"(-13.94,0.00,10.13)",8.34
590,"(-11.55,2.79,1.85)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",10.46,Ground,"(-13.89,0.00,9.82)",8.34
600,"(-11.43,2.79,1.08)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",11.24,Ground,"(-13.77,0.00,9.05)",8.34
610,"(-11.31,2.79,0.32)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",11.96,Ground,"(-13.66,0.00,8.34)",8.34
620,"(-11.19,2.79,-0.45)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",12.78,Ground,"(-13.53,0.00,7.53)",8.34
630,"(-11.09,2.79,-1.11)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",13.46,Ground,"(-13.43,0.00,6.87)",8.37
640,"(-10.98,2.79,-1.81)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",14.16,Ground,"(-13.32,0.00,6.18)",8.37
650,"(-10.87,2.79,-2.53)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",14.89,Ground,"(-13.21,0.00,5.46)",8.37
660,"(-10.76,2.79,-3.23)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",15.59,Ground,"(-13.10,0.00,4.76)",8.37
670,"(-10.63,2.79,-4.07)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",16.41,Ground,"(-12.98,0.00,3.97)",8.37
680,"(-10.63,2.79,-4.07)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",16.52,Ground,"(-13.00,0.00,3.94)",8.47
690,"(-10.63,2.79,-4.07)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",16.52,Ground,"(-13.02,0.00,3.97)",8.51
700,"(-10.63,2.79,-4.07)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",16.52,Ground,"(-13.00,0.00,3.92)",8.45
710,"(-10.63,2.79,-4.07)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",16.52,Ground,"(-12.99,0.00,3.90)",8.42
720,"(-10.63,2.79,-4.07)","(-0.15,0.00,0.99)",Wall North,"(-13.18,2.79,12.25)",16.52,Ground,"(-12.99,0.00,3.90)",8.42
730,"(-10.63,2.78,-4.07)","(-0.15,0.00,0.99)",Wall North,"(-13.19,2.78,12.25)",16.52,Ground,"(-12.99,0.00,3.88)",8.41
740,"(-10.67,2.76,-4.08)","(-0.15,0.00,0.99)",Wall North,"(-13.23,2.76,12.25)",16.53,Ground,"(-13.00,0.00,3.81)",8.33
750,"(-10.69,2.75,-4.08)","(-0.15,0.00,0.99)",Wall North,"(-13.25,2.75,12.25)",16.53,Ground,"(-13.02,0.00,3.79)",8.31
760,"(-10.70,2.75,-4.08)","(-0.15,0.00,0.99)",Wall North,"(-13.26,2.75,12.25)",16.53,Ground,"(-13.03,0.00,3.78)",8.30
770,"(-10.67,2.76,-4.08)","(-0.15,0.00,0.99)",Wall North,"(-13.23,2.76,12.25)",16.53,Ground,"(-13.03,0.00,3.78)",8.30
780,"(-10.64,2.78,-4.07)","(-0.15,0.00,0.99)",Wall North,"(-13.20,2.78,12.25)",16.52,Ground,"(-13.03,0.00,3.78)",8.30
790,"(-10.69,2.78,-4.08)","(-0.15,0.00,0.99)",Wall North,"(-13.25,2.78,12.25)",16.53,Ground,"(-13.03,0.00,3.78)",8.30
800,"(-10.73,2.77,-4.09)","(-0.15,0.00,0.99)",Wall North,"(-13.29,2.77,12.25)",16.54,Ground,"(-13.03,0.00,3.78)",8.30
810,"(-10.74,2.74,-4.09)","(-0.15,0.00,0.99)",Wall North,"(-13.30,2.74,12.25)",16.54,Ground,"(-13.03,0.00,3.78)",8.30
820,"(-10.73,2.74,-4.09)","(-0.15,0.00,0.99)",Wall North,"(-13.29,2.74,12.25)",16.54,Ground,"(-13.03,0.00,3.78)",8.30
830,"(-10.72,2.75,-4.08)","(-0.15,0.00,0.99)",Wall North,"(-13.28,2.75,12.25)",16.53,Ground,"(-13.03,0.00,3.78)",8.30
840,"(-10.72,2.75,-4.08)","(-0.15,0.00,0.99)",Wall North,"(-13.28,2.75,12.25)",16.53,Ground,"(-13.03,0.00,3.78)",8.30
850,"(-10.72,2.75,-4.08)","(-0.15,0.00,0.99)",Wall North,"(-13.28,2.75,12.25)",16.53,Ground,"(-13.03,0.00,3.78)",8.30
860,"(-10.72,2.75,-4.08)","(-0.21,-0.02,0.98)",Wall West,"(-14.21,2.49,12.20)",16.66,Ground,"(-13.03,0.00,3.78)",8.30
870,"(-10.72,2.75,-4.08)","(-0.47,-0.11,0.88)",Wall West,"(-14.21,1.93,2.43)",7.44,Ground,"(-13.03,0.00,3.78)",8.30
880,"(-10.72,2.75,-4.08)","(-0.56,-0.15,0.82)",Wall West,"(-14.21,1.83,1.04)",6.26,Ground,"(-13.03,0.00,3.78)",8.30
890,"(-10.72,2.75,-4.08)","(-0.59,-0.17,0.79)",Wall West,"(-14.21,1.74,0.53)",5.88,Ground,"(-13.08,0.00,3.72)",8.27
900,"(-10.72,2.75,-4.08)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.61,-0.04)",5.46,Ground,"(-13.12,0.00,3.54)",8.11
910,"(-10.72,2.75,-4.08)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.61,-0.04)",5.46,Ground,"(-13.12,0.00,3.54)",8.11
920,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
930,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
940,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
950,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
960,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
970,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
980,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
990,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1000,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1010,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1020,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1030,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1040,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1050,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1060,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1070,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1080,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1090,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1100,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1110,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1120,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1130,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1140,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1150,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1160,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1170,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1180,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1190,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1200,"(-10.51,2.75,-4.33)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.54,-0.04)",5.79,Ground,"(-12.91,0.00,3.29)",8.11
1210,"(-10.29,2.75,-4.58)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.51,-0.04)",5.98,Ground,"(-12.79,0.00,3.16)",8.11
1220,"(-9.76,2.75,-5.19)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.32,-0.04)",6.88,Ground,"(-12.21,0.00,2.49)",8.11
1230,"(-9.21,2.75,-5.83)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,1.14,-0.04)",7.75,Ground,"(-11.66,0.00,1.85)",8.11
1240,"(-8.71,2.75,-6.41)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,0.98,-0.04)",8.53,Ground,"(-11.16,0.00,1.27)",8.11
1250,"(-8.18,2.75,-7.03)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,0.80,-0.04)",9.36,Ground,"(-10.63,0.00,0.66)",8.11
1260,"(-7.65,2.75,-7.63)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,0.63,-0.04)",10.18,Ground,"(-10.10,0.00,0.05)",8.11
1270,"(-7.25,2.75,-8.10)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,0.48,-0.04)",10.89,Ground,"(-9.65,0.00,-0.48)",8.11
1280,"(-7.58,2.75,-7.72)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,0.58,-0.04)",10.45,Ground,"(-9.93,0.00,-0.15)",8.11
1290,"(-7.79,2.75,-7.48)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,0.66,-0.04)",10.05,Ground,"(-10.19,0.00,0.14)",8.11
1300,"(-7.79,2.75,-7.48)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,0.66,-0.04)",10.05,Ground,"(-10.19,0.00,0.14)",8.11
1310,"(-7.79,2.75,-7.48)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,0.66,-0.04)",10.05,Ground,"(-10.19,0.00,0.14)",8.11
1320,"(-7.79,2.75,-7.48)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,0.66,-0.04)",10.05,Ground,"(-10.19,0.00,0.14)",8.11
1330,"(-7.79,2.75,-7.48)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,0.66,-0.04)",10.05,Ground,"(-10.19,0.00,0.14)",8.11
1340,"(-7.79,2.75,-7.48)","(-0.64,-0.21,0.74)",Wall West,"(-14.21,0.66,-0.04)",10.05,Ground,"(-10.19,0.00,0.14)",8.11
1350,"(-7.79,2.75,-7.48)","(-0.65,-0.21,0.73)",Wall West,"(-14.21,0.62,-0.19)",9.94,Ground,"(-10.19,0.00,0.14)",8.11
1360,"(-7.79,2.75,-7.48)","(-0.79,-0.27,0.55)",Cube,"(-13.13,0.95,-3.78)",6.74,Ground,"(-11.02,0.00,-0.89)",7.52
1370,"(-7.79,2.75,-7.48)","(-0.88,-0.25,0.41)",Wall West,"(-14.21,0.96,-4.48)",7.31,Ground,"(-11.02,0.00,-0.89)",7.52
1380,"(-7.79,2.75,-7.48)","(-0.88,-0.25,0.41)",Wall West,"(-14.21,0.96,-4.48)",7.31,Ground,"(-11.02,0.00,-0.89)",7.52
1390,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Ground,"(-11.02,0.00,-0.89)",7.52
1400,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Ground,"(-11.02,0.00,-0.89)",7.52
1410,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Ground,"(-11.02,0.00,-0.89)",7.52
1420,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Ground,"(-11.02,0.00,-0.88)",7.52
1430,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Ground,"(-11.02,0.00,-0.86)",7.53
1440,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Ground,"(-11.02,0.00,-0.86)",7.53
1450,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Ground,"(-11.02,0.00,-0.86)",7.54
1460,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Ground,"(-11.02,0.00,-0.86)",7.54
1470,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Ground,"(-12.69,0.00,-0.89)",8.36
1480,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Ground,"(-13.95,0.00,-1.10)",9.01
1490,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Cube,"(-13.13,0.64,-3.06)",7.01
1500,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Cube,"(-13.13,0.64,-3.07)",7.00
1510,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Cube,"(-13.13,0.64,-3.10)",6.98
1520,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Cube,"(-13.13,0.64,-3.10)",6.98
1530,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Cube,"(-13.13,0.64,-3.10)",6.98
1540,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Cube,"(-13.13,0.64,-3.10)",6.98
1550,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Wall West,"(-14.21,0.19,-2.30)",8.40
1560,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Wall West,"(-14.21,0.19,-2.30)",8.40
1570,"(-7.79,2.75,-7.48)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Ground,"(-14.01,0.00,0.60)",10.25
1580,"(-7.95,2.75,-7.42)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.15,-5.15)",7.01,Ground,"(-13.19,0.00,3.28)",11.99
1590,"(-8.80,2.75,-7.11)","(-0.92,-0.23,0.33)",Wall West,"(-14.21,1.38,-5.15)",5.99,Ground,"(-13.99,0.00,3.99)",12.25
1600,"(-9.53,2.75,-6.85)","(-0.92,-0.23,0.33)",Cube,"(-9.63,2.71,-6.81)",0.19,Wall West,"(-14.21,0.28,3.20)",11.05
1610,"(-9.99,2.75,-6.68)","(-0.92,-0.23,0.33)",Cube,"(-10.39,2.65,-6.53)",0.44,Wall West,"(-14.21,0.57,2.31)",9.81
1620,"(-9.99,2.75,-6.68)","(-0.92,-0.23,0.33)",Cube,"(-10.39,2.65,-6.53)",0.44,Wall West,"(-14.21,0.57,2.31)",9.81
1630,"(-9.89,2.75,-6.37)","(-0.89,-0.23,0.39)",Cube,"(-10.27,2.67,-6.38)",0.37,Wall West,"(-14.21,0.34,3.50)",10.79
