frame_no,user_position,user_orientation,camera_hit_obj,camera_hit_point,camera_hit_dist,controller_hit_obj,controller_hit_point,controller_hit_distance
10,"(-10.53,2.79,-9.97)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",22.22,Wall North,"(-10.52,2.78,12.25)",21.82
20,"(-10.53,2.79,-9.97)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",22.22,Wall North,"(-10.52,2.78,12.25)",21.82
30,"(-10.53,2.79,-9.97)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",22.22,Wall North,"(-10.52,2.78,12.25)",21.82
40,"(-10.53,2.79,-9.97)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",22.22,Wall North,"(-10.52,2.78,12.25)",21.82
50,"(-10.53,2.79,-9.97)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",22.22,Wall North,"(-10.52,2.78,12.25)",21.82
60,"(-10.53,2.79,-9.58)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",21.90,Wall North,"(-10.52,2.78,12.25)",21.50
70,"(-10.53,2.79,-8.83)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",21.22,Wall North,"(-10.52,2.78,12.25)",20.81
80,"(-10.53,2.79,-8.13)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.53,Wall North,"(-10.52,2.78,12.25)",20.12
90,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Wall North,"(-10.52,2.78,12.25)",19.70
100,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Wall North,"(-10.51,2.81,12.25)",19.70
110,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Wall North,"(-10.51,2.81,12.25)",19.70
120,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Wall North,"(-11.55,1.63,12.25)",19.76
130,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Ground,"(-13.19,0.00,5.02)",13.07
140,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Wall West,"(-14.21,0.06,1.89)",10.41
150,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Sphere,"(-13.82,0.87,-1.83)",6.80
160,"(-10.53,2.79,-7.86)","(0.00,0.00,1.00)",Wall North,"(-10.53,2.79,12.25)",20.11,Wall West,"(-14.21,0.53,-1.69)",7.21
